x1,x2,x3,label
-1.7371,1.0621,-4.7907,-1
1.7789,-0.12844,-3.9614,-1
0.66943,-0.38161,-4.9001,-1
-2.1492,-0.75949,-4.5074,-1
1.3543,0.43455,-2.6836,-1
-4.4733,-0.74796,-2.7512,-1
-0.65077,-0.041302,-4.0273,-1
-3.5582,-0.20038,-5.443,-1
-0.11077,0.77709,-5.3904,-1
0.99054,-0.75253,-6.0338,-1
-0.87406,-0.48716,-3.8069,-1
-3.6408,-0.083626,-3.8693,-1
1.5217,-0.34236,-4.3099,-1
1.2203,0.12341,-4.3065,-1
-1.9463,-0.63692,-5.5392,-1
-0.92797,0.78426,-2.6476,-1
1.0111,-0.60537,-2.9978,-1
2.0576,0.12068,-3.8509,-1
1.9377,-0.64141,-5.6348,-1
-2.571,0.79477,-0.46317,-1
-0.22918,-0.17946,-6.2585,-1
-1.9896,1.0563,-4.1749,-1
-0.88051,-0.33731,-5.2745,-1
-4.5493,-0.18737,-3.0857,-1
-3.8308,0.81205,-4.1688,-1
0.36392,0.65439,-2.4545,-1
-1.1009,0.42176,-5.8228,-1
1.8693,-0.61969,-4.318,-1
1.9429,0.38045,-4.5591,-1
-0.70718,1.0402,-4.9914,-1
0.55066,0.84714,-4.1762,-1
2.4026,-0.021533,-3.9611,-1
0.21157,-0.40807,-4.3677,-1
-3.413,0.91304,-1.571,-1
-1.7342,0.33973,-3.0331,-1
2.7179,-0.75804,-3.6369,-1
0.78237,-0.72677,-2.8725,-1
-2.9165,0.19712,-2.9209,-1
-4.9613,0.65725,-4.9316,-1
-0.84234,0.6154,-4.597,-1
-0.52323,-0.36698,1.0604,-1
-1.0635,0.015004,-0.76523,-1
0.17533,0.21312,2.3036,-1
0.30453,0.71982,0.051287,-1
-3.4794,-0.18258,-0.25553,-1
-0.90298,-0.38549,0.97584,-1
1.6638,-0.27524,-0.30752,-1
-1.6728,0.26853,0.172,-1
0.027471,-0.40025,0.50394,-1
0.86853,0.62675,-0.14679,-1
-1.2941,-0.8909,0.59721,-1
1.0956,0.85502,-0.92123,-1
0.31549,0.45254,-1.1514,-1
2.7337,0.80841,1.8924,-1
4.6508,-0.67421,0.18348,-1
-1.0305,0.36781,0.78335,-1
-2.042,-0.12669,0.14238,-1
0.12873,-0.48645,1.3944,-1
0.46814,0.0095847,-0.85509,-1
0.37687,-0.11198,0.43572,-1
1.6062,0.86721,0.1635,-1
4.2555,0.13594,-0.037471,-1
-2.0532,0.93815,-1.236,-1
-2.7541,-0.37028,0.24375,-1
-3.1061,-0.11168,0.3505,-1
-1.7807,-0.82724,0.24394,-1
-0.3235,-0.16694,0.21816,-1
2.1873,-0.64942,-0.43541,-1
3.4309,0.24808,0.68753,-1
-2.4961,0.46639,-1.2726,-1
-4.7328,0.74375,-0.78303,-1
0.60002,0.79164,0.057261,-1
2.6979,0.28676,0.51362,-1
-5.5478,0.43331,-1.1975,-1
-0.87842,-0.17194,0.61754,-1
0.88573,-0.43412,1.9687,-1
-0.87949,0.28939,-0.46344,-1
4.7747,0.54824,0.50447,-1
-0.63734,-0.52561,0.94615,-1
-1.1863,-0.79798,-0.75452,-1
-5,0.44928,-0.78105,-1
-2.6731,0.62344,1.5525,-1
3.3332,-0.76337,0.93104,-1
-4.7004,0.6431,1.7357,-1
-1.7652,0.39244,2.2726,-1
-1.7624,0.25231,-0.022788,-1
-3.2108,-0.50998,-0.57166,-1
-0.33062,0.49109,-0.67603,-1
5.3532,-0.32171,1.7005,-1
-1.5849,-0.0049936,0.87559,-1
2.1811,-0.32945,1.8417,-1
0.68773,-0.20879,0.13514,-1
6.4456,0.62921,-1.2432,-1
1.6907,0.48454,1.4907,-1
5.1532,0.11458,0.9341,-1
2.7559,-0.32927,1.5202,-1
6.5906,0.99364,-0.50507,-1
1.2587,-0.36363,-1.5864,-1
3.2683,0.13629,1.0418,-1
1.8174,-0.058095,0.22733,-1
-1.2508,-0.32052,-0.29334,-1
7.4202,0.044929,-0.14543,-1
1.046,-0.41248,-0.46313,-1
3.9906,-0.45352,0.46137,-1
3.6028,0.99946,-0.39949,-1
4.6793,-0.28633,-0.60819,-1
0.53095,0.63214,0.015066,-1
6.6759,-0.22648,-1.6028,-1
0.80394,-0.87923,0.46187,-1
1.8507,-0.69186,0.11497,-1
-5.7421,0.65965,0.37084,-1
0.5836,0.22205,-0.0037825,-1
4.4621,-0.56929,-0.32531,-1
2.5249,0.33754,0.57679,-1
3.1345,-0.78406,1.0166,-1
4.5099,-0.7027,-1.5503,-1
0.081573,-0.82719,1.4589,-1
3.7818,-0.20456,0.89875,-1
1.7744,0.53836,-1.2929,-1
1.6621,-0.13097,0.81716,-1
1.6853,-0.17241,0.83963,-1
3.531,0.92191,1.1809,-1
1.0745,0.060153,-0.5759,-1
0.5635,0.96212,-0.41855,-1
5.6225,0.55988,0.72617,-1
1.762,-0.80545,-0.42429,-1
-0.74479,0.37238,-1.2534,-1
2.0031,0.031638,-0.09372,-1
5.756,-0.44952,0.88231,-1
7.4324,-0.58,0.16942,-1
2.1579,0.40101,0.15748,-1
3.558,-0.35773,-1.0769,-1
4.1089,-0.40849,-0.2043,-1
-0.415,-0.86454,-0.024416,-1
4.417,-0.88448,-0.53099,-1
-0.98063,0.87643,-0.94473,-1
2.229,0.082424,0.16513,-1
2.7668,0.92224,0.93698,-1
2.6685,0.46868,0.12682,-1
4.9792,0.69786,0.82995,-1
3.876,0.43567,3.2447,-1
3.7306,0.42579,4.3253,-1
0.33839,-0.79495,4.2235,-1
6.538,0.076514,4.5428,-1
0.65247,-0.82412,2.9562,-1
6.5897,0.46041,4.5268,-1
1.1143,-0.73561,3.4793,-1
1.8271,0.25866,4.9947,-1
5.499,-0.79466,2.2004,-1
5.6093,-0.882,4.1864,-1
1.0324,0.5491,3.9274,-1
-0.082648,0.28515,2.4386,-1
2.9101,0.44943,4.264,-1
2.9782,0.99423,2.4101,-1
2.793,0.8633,3.5235,-1
1.6683,-0.28996,2.5144,-1
4.8129,-0.61478,2.3081,-1
1.108,0.89893,2.6633,-1
7.9156,-0.027764,3.9056,-1
3.7291,-0.33356,5.3033,-1
1.428,0.66946,5.4088,-1
9.0378,-0.51645,5.7599,-1
2.6531,0.26192,4.45,-1
-1.1177,0.44618,1.7705,-1
8.336,-0.65478,4.1979,-1
5.9385,0.32784,6.0309,-1
1.668,0.54302,3.7911,-1
2.7829,0.66106,3.4377,-1
3.1614,-0.40016,3.9752,-1
4.8227,-0.26202,4.4481,-1
4.7872,0.67039,2.832,-1
2.5559,-0.48159,6.2145,-1
3.9172,-0.59959,5.821,-1
7.053,0.40923,3.4721,-1
4.4332,-0.40223,3.6615,-1
3.6391,0.018095,4.1396,-1
1.1444,0.52731,4.2411,-1
7.339,0.93339,3.2455,-1
1.873,-0.44948,5.1849,-1
2.538,-0.3879,5.171,-1
1.6946,1.0364,4.6814,-1
5.2232,0.43534,3.943,-1
5.3504,-0.59075,2.9672,-1
-2.6795,-0.05948,4.7861,-1
6.4805,-0.76198,3.066,-1
8.8435,0.10122,5.8741,-1
1.5464,0.47824,5.6016,-1
2.1081,-0.77538,2.6083,-1
5.5658,-0.28707,3.2125,-1
0.10618,0.019978,4.3611,-1
1.3129,0.014771,4.7912,-1
2.741,-0.068246,3.5396,-1
4.0721,-0.2186,4.029,-1
4.5069,0.68867,5.0601,-1
3.7663,0.16639,5.367,-1
0.70647,-0.6359,5.1517,-1
7.3405,0.50533,3.2453,-1
0.09371,0.43545,4.3553,-1
0.8522,0.72586,5.4562,-1
3.6788,0.22768,4.9591,-1
2.6696,-0.099908,3.6717,-1
1.2401,0.54013,3.5411,-1
0.07612,0.61334,3.6537,-1
4.2264,0.39613,2.164,-1
3.8864,-0.42313,3.1752,-1
5.8014,-0.68139,5.6873,-1
7.1279,0.01754,4.3205,-1
6.8489,-0.66999,5.5191,-1
4.7565,-0.85087,3.7359,-1
5.2075,0.73402,4.1661,-1
3.7741,-0.04162,4.3804,-1
2.0953,-0.59435,4.1764,-1
1.3261,-0.71602,4.099,-1
2.3213,0.1879,4.1336,-1
2.5164,0.8388,4.2165,-1
3.2383,0.62928,4.3695,-1
3.2888,0.59869,5.0219,-1
7.0608,-0.88102,3.2207,-1
0.73228,0.49658,5.3288,-1
2.9285,0.80118,3.182,-1
-1.6288,-0.46029,4.0802,-1
2.2845,-0.063324,6.2859,-1
6.3629,-0.56723,5.5618,-1
4.2422,0.84617,4.2881,-1
2.0433,-0.31128,3.0519,-1
5.7504,0.2058,4.024,-1
1.7382,0.19035,3.3731,-1
6.8436,-0.6245,4.1588,-1
1.9766,-0.097779,4.5398,-1
1.8238,0.22245,3.6896,-1
0.50753,-0.77996,4.2216,-1
5.9755,0.55937,4.0355,-1
1.7698,0.619,4.6417,-1
3.7155,-0.51919,5.6364,-1
5.5478,0.46975,3.3385,-1
4.4441,-0.12558,3.674,-1
4.7127,0.89833,3.3202,-1
8.5841,0.74055,7.392,-1
2.9326,0.062077,4.6991,-1
6.9736,0.8172,3.898,-1
-2.6414,-0.33927,-3.9309,1
-2.2002,0.26965,-3.9675,1
0.029413,0.05464,-3.3394,1
-2.273,-0.20653,-3.8677,1
-1.2552,0.58156,-2.9736,1
-2.5322,0.26879,-2.6687,1
-3.9959,-0.23454,-3.685,1
-4.2345,-0.67705,-2.8955,1
-1.519,0.013236,-1.4963,1
-2.9422,0.71819,-0.96043,1
-2.9143,0.50164,-2.7993,1
-3.0956,0.89092,-0.72525,1
-2.7122,-0.96708,-2.164,1
-2.7687,-0.66355,-3.6711,1
-2.8191,-0.071681,-3.6978,1
-2.5565,-0.8431,-3.8393,1
-2.0934,-0.14997,-3.1805,1
-2.3187,0.93118,-1.9477,1
-2.3515,-0.69216,-3.3696,1
-0.99884,-0.40144,-2.7254,1
-1.6459,-0.54254,-3.3649,1
-1.557,-0.13038,-3.3118,1
-2.5114,0.098325,-4.0957,1
-3.3081,-0.59891,-4.9033,1
-2.8898,0.36707,-4.281,1
-2.3896,0.91827,-0.52257,1
-1.588,0.61134,-2.389,1
-0.80337,-0.27978,-1.9743,1
-2.7612,-0.12601,-3.1942,1
-2.007,0.034136,-4.1401,1
-1.7264,-0.47557,-2.9087,1
-1.928,0.96949,-2.7962,1
-0.7377,-0.17687,-5.3338,1
-1.9342,-0.064098,-3.5973,1
-0.889,0.93327,-2.5326,1
-3.621,0.1358,-0.89758,1
-2.6073,0.74771,-2.0765,1
-3.9303,-0.22566,-1.6637,1
-1.7083,0.25512,-3.4628,1
-3.6803,0.41602,-1.3706,1
-2.8305,-0.40004,-2.6527,1
-3.0815,0.9899,-3.3878,1
-3.0203,0.031893,-2.9166,1
-2.3506,-0.8157,-5.6194,1
-1.8593,0.4498,-2.9652,1
-0.44562,-0.42443,-2.2209,1
-2.4817,0.22344,-4.442,1
0.2326,0.95958,-1.366,1
-1.778,-0.79591,-3.2511,1
-0.79126,-0.15159,-3.4828,1
0.086294,0.8258,-3.4884,1
-3.152,-0.47861,-3.5666,1
0.75323,-0.49469,-4.3347,1
-4.2504,-0.6559,-3.585,1
-2.2513,-0.64117,-2.2462,1
-1.6944,0.077624,-3.1016,1
0.014551,-0.38844,-3.4165,1
-1.2154,0.29885,-2.8232,1
-2.3951,-0.98529,-3.6159,1
-3.7989,0.23895,-3.9347,1
-1.1468,-0.8473,-3.4081,1
-2.4851,0.67707,-1.9225,1
-1.8142,0.34566,-1.6712,1
-4.5044,-0.357,-2.4101,1
-1.0423,-0.5835,-2.6108,1
-0.48294,-0.60561,-1.7154,1
-1.0853,0.13192,-4.463,1
-2.6928,-0.59604,-3.9817,1
-0.73613,0.57366,-2.5114,1
-3.2994,-0.25878,-2.2538,1
-2.4846,0.59314,-3.2277,1
-1.4315,-0.99486,-2.7217,1
-0.10888,0.75298,-2.4309,1
-1.8004,-0.68162,-4.2459,1
-1.9635,-0.44434,-4.1283,1
-1.7421,-0.34501,-2.2931,1
-2.1622,-0.44413,-3.8999,1
0.14319,0.34123,-1.8471,1
-1.5923,0.66159,-3.2197,1
-1.6643,0.48879,-2.1504,1
-3.4777,0.64717,-3.1857,1
-0.12731,-0.23535,-2.3814,1
-2.7603,0.037495,-4.4613,1
-1.7145,-0.46806,-4.1885,1
-3.47,-0.10244,-4.8052,1
-4.5147,0.61755,-2.3207,1
-1.8841,0.28999,-3.7696,1
-2.1059,-0.39577,-4.3893,1
-3.3973,-0.2988,-4.5015,1
-1.4689,-0.61493,-3.9962,1
-0.52369,-0.35152,-4.0492,1
-2.3386,-0.97743,-1.8568,1
-2.7482,-0.77646,-2.8259,1
-4.0448,-0.077642,-4.2725,1
-2.805,0.53923,-1.5122,1
-3.3812,-0.73059,-3.3005,1
-3.5507,0.013023,-2.2979,1
-0.17936,-0.56172,-3.9388,1
-1.3521,-0.72524,-3.6176,1
-2.4902,-0.9384,-1.7257,1
-1.5853,-0.67838,-4.1606,1
-1.8907,-0.23078,-3.468,1
-3.2735,0.63342,-4.0753,1
-0.7614,-0.9627,-1.6876,1
-3.634,0.51981,-2.142,1
-1.3166,0.23166,-5.0052,1
-2.8802,0.43464,-2.7989,1
-1.6192,-0.88635,-2.7163,1
-2.6537,-0.098026,-3.0653,1
-1.3827,0.13768,-2.4042,1
-3.3445,0.59733,-2.7853,1
-3.2228,0.53493,-2.9342,1
-1.9686,-0.29686,-2.7255,1
-2.4449,0.47717,-1.3052,1
-1.8357,0.59368,-4.5224,1
-2.0262,-0.83977,-2.3969,1
-0.59576,0.79305,-3.5949,1
-1.4011,-0.74288,-3.8566,1
-2.4986,0.2472,-2.8721,1
-3.1087,0.45676,-3.0781,1
-2.7927,0.38226,-3.6639,1
-0.17205,-0.029183,-2.3309,1
-3.7883,0.42644,-3.089,1
-1.0458,-0.88236,-2.4559,1
-0.017301,-0.15784,-2.4725,1
2.7167,-0.84994,1.9295,1
5.0449,0.83476,3.2683,1
5.2909,-0.55687,2.6346,1
4.1304,-0.66509,3.7211,1
3.8888,-0.82032,2.6614,1
3.8266,-0.0083551,2.3983,1
2.6519,-0.37872,1.886,1
3.9709,0.67503,2.0379,1
3.0023,0.38502,2.984,1
4.8162,-0.064683,2.3385,1
4.5942,0.72568,3.0025,1
4.0807,-0.48445,3.5377,1
1.4405,-0.37376,3.468,1
4.517,-0.22823,1.7963,1
3.7236,-0.36712,2.9375,1
3.146,0.69937,2.1648,1
3.3224,0.021735,3.0292,1
4.0968,-0.49735,2.7724,1
4.9934,-0.84754,2.8507,1
2.2682,0.4395,3.1533,1
5.8122,0.10777,3.1234,1
4.9957,0.87922,3.6679,1
3.7221,-0.32933,2.7002,1
3.6573,0.84658,1.9508,1
3.4185,-0.41675,3.6974,1
4.202,-0.22841,3.2525,1
4.1442,0.27697,4.7035,1
5.0506,0.10409,3.8098,1
5.1732,0.61084,3.0879,1
3.6878,-0.87095,4.9696,1
3.5519,0.55656,2.7471,1
2.4147,-0.13146,3.2884,1
3.1971,0.36394,4.2743,1
3.8227,-0.28694,3.0634,1
5.9935,-0.7907,4.0732,1
4.0194,0.57726,2.1545,1
4.1156,0.97723,3.6334,1
3.8412,0.90562,4.3363,1
3.4439,-0.85863,2.3537,1
2.9256,-0.60167,2.5542,1
3.7345,0.87139,3.5086,1
5.1176,-0.96759,3.0499,1
2.9776,-0.97058,3.2558,1
2.5944,-0.44901,2.2324,1
3.6961,-0.42802,2.3298,1
3.9834,0.49366,2.8116,1
2.5507,0.98957,2.6288,1
3.2675,0.00043395,1.5021,1
4.4338,-0.26805,2.3235,1
3.6452,0.059593,3.3738,1
3.4951,0.1191,3.2433,1
2.9626,0.4071,3.1455,1
5.0948,0.76074,3.1624,1
2.5359,0.97911,3.6835,1
2.7317,-0.89997,2.1174,1
1.3738,-0.38506,2.4884,1
4.1326,0.93797,3.2257,1
4.5317,0.1829,3.1179,1
4.5975,0.63996,2.4688,1
4.3928,-0.1869,1.9457,1
5.245,0.89145,2.9073,1
3.9585,-0.80326,2.5092,1
3.3024,0.070136,3.2772,1
3.1738,-0.47348,2.0456,1
2.6703,0.88836,3.9241,1
2.9618,-0.76579,2.9373,1
3.9133,0.77615,2.5598,1
2.4435,-0.15869,3.2075,1
4.665,0.11377,2.9812,1
5.1051,-0.90217,3.1513,1
4.6237,0.75708,2.9467,1
2.9611,-0.47226,3.1886,1
4.8151,-0.16309,2.7629,1
4.9299,-0.33568,4.1224,1
4.5242,-0.85468,3.8262,1
3.0212,0.79659,2.4201,1
4.4968,-0.15902,2.9561,1
3.801,-0.077295,2.4546,1
2.8697,0.88715,2.0493,1
1.6332,0.63728,2.7711,1
3.4746,0.93688,2.0755,1
3.8889,-0.26326,3.9584,1
4.0361,0.82999,3.1322,1
4.9815,-0.20848,2.6597,1
3.9907,0.8894,2.7581,1
4.9587,-0.85455,3.9273,1
2.5719,-0.7183,3.5064,1
5.6805,0.53499,2.9365,1
5.9495,0.95596,3.8506,1
4.9967,-0.94769,2.5271,1
3.0146,0.51374,2.7274,1
3.8602,0.95721,3.2032,1
4.9729,0.47445,3.1138,1
4.6328,-0.6207,2.4846,1
3.0603,-0.15887,2.8725,1
4.6632,-0.74334,2.7531,1
5.1838,0.021282,2.5467,1
3.5271,-0.65197,3.6986,1
5.4874,-0.23726,2.9946,1
2.7464,0.74454,2.5809,1
5.3883,-0.26947,3.9436,1
4.6733,-0.90461,3.0415,1
3.7723,-0.94118,3.5422,1
3.7701,0.0048233,2.0776,1
3.3514,-0.48159,2.5428,1
4.523,-0.13789,2.507,1
5.7618,-0.37594,4.0681,1
4.7325,0.99873,2.6971,1
5.9252,0.62953,2.8687,1
3.8483,0.30327,2.5616,1
4.8202,-0.081068,3.9935,1
4.7494,-0.77662,3.4061,1
3.2504,0.097453,1.9357,1
4.6027,0.97162,2.8796,1
2.6574,-0.79678,3.5078,1
2.2514,0.85516,3.5163,1
2.944,0.28786,2.7555,1
4.1413,0.46246,2.5801,1
5.288,0.43898,3.3064,1
5.6149,0.64149,3.2907,1
4.0519,0.07303,1.1467,1
3.407,0.22036,3.4822,1
3.9535,-0.7278,2.8359,1
4.8698,-0.53367,1.8039,1
3.4549,-0.61603,3.0729,1
