x1,x2,x3,y
-0.52953,0.10073,0.16878,0.61476
-1.3194,-1.4129,-1.4639,0.44444
1.8792,0.26855,2.4616,0.61472
-0.042002,1.5313,-0.13376,0.40775
-0.64312,3.7076,1.7145,2.5584
0.83443,-0.93889,1.7833,1.5311
-0.43325,-1.1584,0.90795,0.97564
-0.78771,-1.9968,-0.14815,1.4076
-1.6172,2.6897,2.2192,2.5762
0.7954,2.468,1.4051,0.19948
2.2404,-0.51327,-1.5297,0.84882
1.0404,-1.8996,-0.59427,2.2019
-1.0301,6.4456,2.4714,7.9674
-1.6675,1.7284,-0.39993,1.4082
0.57119,1.0303,-0.084453,0.19218
-0.35363,1.3437,0.67621,0.80964
0.15513,1.7655,2.9985,0.61249
0.78498,2.3468,-0.10178,0.11197
0.76496,2.205,-0.46261,-0.0018596
2.373,-0.76142,1.7346,1.7544
0.078885,-1.0735,2.0739,1.2546
0.51989,-1.2128,0.58224,1.622
-0.44481,1.9767,-1.3691,0.68079
0.68766,0.79667,2.6067,0.60554
0.64141,1.4388,0.19246,0.065539
-1.2815,0.82124,1.6017,0.93906
1.479,0.6958,3.1874,0.40623
-2.2293,1.9415,2.1658,2.2674
-0.45576,2.3326,2.867,1.2765
-0.20637,0.86311,-0.44511,0.52939
-1.623,0.11997,-1.1971,0.51641
-0.87935,3.5806,0.85854,2.6165
0.0016156,5.9033,3.1196,4.7142
-0.26909,-0.28423,2.8951,1.0718
1.0785,0.16044,0.36251,0.61772
1.9267,3.0054,2.6527,-0.67344
0.24271,-1.8599,0.96185,1.9895
-0.036774,-0.59302,-1.7252,0.53554
-1.4277,2.5964,0.12408,2.1034
-0.59144,1.7106,-0.8864,0.7199
0.98332,2.9059,2.4588,0.19775
-1.4823,3.0163,3.3299,3.1082
-0.37107,0.33228,2.7855,0.88143
-2.4817,0.85099,1.3045,1.4728
-0.10874,-0.25149,1.7248,0.9639
0.68352,3.2696,1.8169,0.54931
-0.22805,1.3578,2.5497,0.94189
1.0398,2.1467,1.3301,0.18602
-1.0189,-0.071734,1.5703,0.79625
-0.20702,-0.089763,1.1618,0.67893
0.66259,1.3254,0.89077,0.17118
0.90739,-0.73944,1.0729,1.336
-1.3401,0.93813,-0.7629,0.70921
0.37166,-0.19109,-0.26801,0.58529
-2.1938,-0.054781,-1.954,0.40288
1.9048,0.50457,2.0628,0.38493
-0.08754,0.2686,1.4727,0.79929
0.58566,-1.108,0.087932,1.4332
0.5324,0.49112,-1.4423,0.27686
0.14659,-0.19728,-0.20161,0.57427
-1.5476,1.7584,-1.0232,1.4557
-0.6609,-0.1922,-0.8325,0.43941
-1.642,2.6765,1.8762,2.7371
-0.70853,-0.85021,-2.0223,0.51013
1.6537,0.50493,1.0873,0.27083
-1.2944,0.40263,1.5111,0.8732
0.33823,0.32978,0.58444,0.53306
0.13693,2.6791,1.1276,0.85253
-0.33927,-0.1173,1.3209,0.70283
-1.0679,-2.4367,-0.083893,1.3495
0.923,-0.096879,0.4535,0.61321
-0.61503,-1.4625,-0.71598,0.85685
-1.5418,1.5506,1.265,1.5119
-0.16613,0.74001,-0.043068,0.30183
-0.46488,1.7036,1.1475,0.93019
-1.2424,1.0942,-0.83193,0.84497
-0.56366,2.2564,0.72762,1.0986
0.49424,0.49373,-0.45911,0.26323
0.77639,2.1097,0.9023,0.30549
0.14696,-2.2216,0.0067726,2.056
-0.84123,-1.3178,0.60064,0.79422
2.7248,0.33868,1.3243,0.20925
-0.32702,0.97066,-1.2687,0.38546
1.484,1.5311,1.1448,-0.14679
1.2625,-1.3105,0.0027977,1.9006
0.21823,2.3913,-0.026822,0.5421
1.2794,1.49,1.1264,-0.080624
-1.0696,2.606,1.4505,2.0166
1.5082,1.6021,0.028337,-0.32775
-0.76457,3.5097,0.53686,2.3679
-0.50031,5.4461,3.8239,5.1509
0.89833,-0.28783,-0.56804,0.75423
-0.88946,0.5126,2.5726,0.97683
-0.18723,1.4108,2.3549,0.91376
0.95304,2.07,1.5978,-0.070282
1.012,-0.0083947,2.2785,0.74691
0.21243,3.854,3.3701,1.6752
0.52002,-0.61061,0.89645,1.017
0.059856,-0.55222,0.90059,0.85982
1.3907,1.2838,-0.028688,-0.26084
2.9081,-0.16021,2.4498,1.0824
1.2931,2.5425,-0.16595,-0.41358
0.89346,-1.5952,0.96781,2.2135
-0.021313,1.7694,2.5166,0.93551
1.6447,-0.80133,3.2616,1.7288
-0.59266,2.0843,0.89312,1.2725
0.70411,0.65634,0.29586,0.20364
0.27886,-0.10863,-0.55742,0.54363
1.7877,2.173,1.6045,-0.56493
-2.2722,0.04339,-0.32712,0.47225
1.7434,1.6379,1.5718,-0.20815
-0.43383,-0.67244,-1.8663,0.67181
-0.52263,-1.8463,-0.55327,1.2114
0.23194,2.7037,1.1959,0.94825
-1.0746,5.1808,-0.26327,5.2094
1.5211,2.9132,1.35,-0.43426
-1.031,2.468,1.8878,1.8612
-0.46257,3.3538,1.4439,1.9247
1.1347,0.046925,1.3926,0.6169
-1.0647,1.9183,-1.9665,1.0484
0.25794,-0.37375,1.0093,0.959
-1.0489,3.1164,0.48295,2.4163
0.35926,1.3911,0.95682,0.37586
0.20579,2.805,1.226,0.85681
-0.20618,1.3183,1.3511,0.74551
-0.8545,1.1983,-0.036813,0.79692
1.4369,0.0088622,2.4942,0.82361
-0.039521,-0.84308,1.1156,1.0299
-0.87554,3.5992,1.4288,2.7649
-0.64672,-0.26627,0.76789,0.82798
0.33052,0.099427,-0.32152,0.47252
-1.0983,1.4214,0.7031,1.0841
2.488,-0.29096,0.97941,1.1232
-0.91916,1.0791,0.74627,1.0036
0.41155,-1.4156,0.92776,1.6336
0.83929,2.0441,0.92315,-0.023678
0.3561,-0.11054,1.6415,0.77987
-0.8487,1.5515,-0.19582,0.92765
1.0671,2.5192,3.6843,0.19435
-0.10467,3.7006,-0.21712,1.7195
0.45325,0.096102,-1.4186,0.36763
-1.1528,0.59066,-0.91752,0.55465
-0.73346,2.165,1.5713,1.3728
2.0418,1.5304,2.4238,-0.28484
-0.28471,1.375,1.1207,0.60915
0.30811,2.3908,-0.33531,0.39383
0.85663,3.8786,3.1364,1.0757
-1.6806,1.0339,1.9931,1.3571
-1.8096,-0.43469,0.7604,0.42643
0.5217,2.8863,2.6431,0.87852
-0.63646,1.2201,1.3251,0.76549
0.44888,2.9825,1.1977,0.72955
1.04,2.3717,0.65177,0.00011159
-0.51091,-1.3594,-0.69623,0.93175
-0.68536,3.6616,1.7531,2.7615
0.60607,2.454,1.4016,0.4435
-0.15581,1.4662,-0.061161,0.5137
-0.68053,-0.18557,0.72059,0.61826
0.67679,0.57427,1.4005,0.53822
0.2207,2.5131,0.67825,0.47849
-1.9391,1.7023,1.4218,1.8674
0.61598,1.3321,0.78059,0.23123
-1.2093,-1.0662,-1.428,0.53497
-0.54747,-0.2478,1.5216,0.84084
0.43562,-0.11462,0.92737,0.7249
-1.0247,1.1423,0.81869,0.96015
0.10922,-0.86483,0.62175,1.1585
-2.079,1.2564,-0.22684,1.3396
-0.7453,2.4396,0.85809,1.4806
0.69367,2.5014,2.6746,0.34396
1.4457,-2.3491,3.8309,3.8114
-0.34269,2.7379,1.4373,1.4434
0.0494,-0.081086,-0.63446,0.4632
-0.3599,-1.1622,1.8535,1.271
0.6783,2.1527,-1.1566,0.12594
