x1,x2,x3,x4,x5,y
-0.57527,-0.43453,0.36734,0.59241,-0.40389,0.3874
0.11784,0.036953,0.17827,0.079382,0.12058,0.39406
0.029401,0.09862,0.31451,-0.60167,0.0038051,0.79661
0.61474,0.16486,1.3087,-1.089,-0.73301,1.1738
-0.35341,-0.34599,0.18996,-0.29027,-0.33819,-0.046956
-1.5546,-0.81254,2.0861,1.4371,-5.1253,-0.27401
0.56812,-0.12767,0.11182,0.39786,0.41613,0.91451
1.4753,0.75543,4.5288,-2.1027,-2.601,0.71295
-0.58508,-0.27505,1.5803,1.2319,-0.13672,0.29551
0.90408,0.45003,0.55471,-0.77978,1.2387,0.85559
-0.16455,-0.078235,-0.010879,0.078965,-0.13959,0.45587
-1.777,-1.0663,1.2124,1.1011,-3.2529,-0.68493
0.085998,-0.025311,0.64234,0.84825,0.1015,0.75674
-1.676,-0.95849,1.7386,1.3436,-3.3285,-0.25928
2.1644,1.0498,3.9499,-1.9966,4.6351,1.6338
0.32859,0.10802,0.00050432,0.0074265,0.32664,0.63205
-0.72497,-0.23914,0.60703,0.75848,-0.40521,0.39754
0.44413,0.44953,1.2045,-1.094,0.39912,0.54111
-0.95765,-0.42205,0.87987,1.0076,-0.9861,0.13109
-1.0332,-0.32539,0.24224,0.3641,-0.78794,-0.03374
-1.0427,-0.016525,1.8273,1.3654,-0.99177,0.074752
0.021868,-0.17786,0.43023,0.59687,0.022093,0.34652
0.51696,0.33272,0.66582,-0.79202,0.97588,0.54491
-0.042811,0.12209,-0.015313,0.25146,-0.040085,0.60142
0.85332,0.16719,0.030172,-0.22345,1.0524,1.1398
-0.52917,-0.19102,1.1175,-1.1318,-1.6717,-0.11883
-0.6923,-0.68389,0.37533,0.65674,-0.54414,0.21096
0.090746,0.031606,-0.0050868,-0.15085,0.073357,0.71294
-1.0488,-0.28218,7.4868,2.7384,3.5638,0.063703
0.24476,0.38382,0.75125,-0.93181,-0.1648,0.9221
-0.59322,-0.68815,1.5744,1.2006,-0.54226,0.57886
0.42792,-0.03429,0.038421,0.0022737,0.42989,0.82576
-1.605,-1.1143,4.2422,2.0245,-4.0181,-0.0064108
-0.77527,-0.18887,1.0538,1.0048,-0.68606,0.18974
-1.1572,-0.6761,1.2041,1.0446,-0.17157,-0.18164
-2.3426,-0.98274,5.3633,2.2712,-4.5521,-0.62211
1.8399,0.89245,3.1003,-1.7139,5.3119,1.6445
-0.84434,-0.30721,0.70151,0.97268,-1.375,0.19985
-0.49074,-0.31423,2.9932,1.7256,-0.31613,0.47608
0.40077,0.15642,-0.036731,0.029969,0.40526,0.71507
-1.2477,-0.69519,0.62624,0.73967,-0.49361,0.059305
-0.76868,-0.2174,1.6304,1.3433,-0.46217,0.26343
0.15077,0.37281,0.40096,0.60269,0.13706,1.0361
-0.16599,0.25227,0.18782,0.20359,-0.15831,0.28598
-1.9206,-0.87322,2.6154,1.687,0.79163,-0.1257
0.37196,0.16785,-0.018963,-0.1834,0.42422,0.86557
-1.5504,-0.69669,0.89613,0.95827,-0.98882,-0.52833
0.99502,0.45958,2.3398,-1.478,-1.3899,0.5424
0.049296,0.17351,-0.0085484,-0.19972,0.042502,0.92079
0.78784,0.40377,0.33257,0.55345,1.2777,1.0046
1.3068,0.29747,5.9614,-2.4293,3.5788,1.273
0.36262,-0.13454,-0.05436,0.093451,0.36231,0.59236
1.93,1.0027,4.7382,-2.1663,6.0782,1.2337
-0.074109,0.08587,0.38577,0.67939,-0.046839,0.58689
-0.78588,-0.33781,0.55314,-0.58104,-1.0298,0.24724
0.90194,0.65427,0.48464,-0.61128,1.2562,1.3765
-1.1924,-0.75467,1.9366,1.4542,-2.7758,0.029699
1.6951,0.80872,2.3411,-1.5372,1.0553,1.342
0.63988,0.39458,0.7749,-0.94121,1.6092,0.73005
-1.6477,-1.0231,3.2456,1.7916,-4.4026,-0.094836
0.87881,0.41527,0.51682,-0.69711,0.84215,0.89947
0.64755,0.059579,0.040059,-0.36752,0.24886,0.6827
1.438,1.0917,1.3397,-1.143,3.2559,1.2184
1.6828,1.0265,2.6918,-1.6616,5.384,1.2156
-0.94828,-0.79236,0.3676,0.60569,-1.4511,0.12559
0.56916,0.76111,1.0607,-1.0341,0.32887,0.68477
-0.55705,-0.39707,0.19141,0.13286,-0.49395,0.39701
-0.97802,-0.63666,-0.11602,-0.20258,-1.0463,0.086902
-0.83404,-0.31347,0.020536,0.16125,-0.74695,-0.21691
1.1344,0.92149,0.232,-0.13794,1.0816,1.4169
0.67306,0.21574,0.2869,-0.53869,0.90361,1.0108
0.42885,0.28202,1.2464,1.0963,0.61953,1.2007
-0.29106,-0.11125,0.69852,0.79062,-0.37429,0.21727
2.9276,1.2651,8.462,-2.9161,-0.70885,1.7846
1.1187,0.63188,1.1969,-1.0815,1.0137,1.165
-1.4898,-0.43587,0.79949,0.87115,-1.4214,0.00702
-0.43933,-0.38113,-9.5822e-05,0.050752,-0.45305,0.11736
0.86723,0.37457,0.24067,-0.64338,0.20753,0.89502
-0.60778,-0.49943,0.17522,-0.39106,-0.40211,0.12972
0.21761,-0.012304,0.54194,-0.67834,0.38062,0.38413
1.1725,0.53219,1.3226,-1.0666,-0.26608,1.2758
-1.4349,-0.68067,1.5228,1.2036,-0.90145,-0.074988
-0.67916,-0.40463,0.79799,0.90971,-0.28531,-0.020719
-0.73986,-0.45001,0.6068,0.80147,0.34391,0.38514
-0.62814,-0.3574,0.19583,0.53149,-0.45951,0.15106
1.7007,0.80384,3.2179,-1.8335,2.3424,1.1967
-0.70405,-0.71521,3.441,1.8494,-3.4338,0.3219
0.98837,0.39573,5.1799,-2.2678,0.38428,0.90879
0.72977,0.40306,1.2124,-1.1274,2.2046,0.5264
0.062287,-0.17032,0.12887,-0.2326,0.056541,0.72251
-0.52436,-0.44002,0.23917,0.53293,-0.63577,0.64671
-0.017412,0.2769,-0.14186,-0.16911,-0.015559,0.57015
0.1846,0.13376,0.8241,0.896,0.33189,0.7987
1.112,0.78032,0.44272,-0.66897,1.3157,0.98317
-0.19242,0.013157,0.16464,0.14641,-0.18734,0.90851
-0.24354,-0.46007,0.0096343,0.22106,-0.18076,0.37955
2.1564,0.95123,0.97361,-0.98594,1.3959,1.6239
0.019393,-0.25108,0.62783,-0.82149,0.02698,0.57749
0.94579,0.71417,1.2543,-1.0931,2.3884,0.87265
0.4616,0.11375,0.67026,0.85379,0.53686,0.6484
1.4817,0.88568,0.89804,-0.90119,1.7311,1.6038
-2.0646,-0.89148,3.459,1.9025,4.4636,-0.57011
-0.02427,0.051071,0.47407,0.64471,-0.030202,0.88969
0.044176,0.23615,0.062099,-0.0095312,0.044111,0.4732
0.68267,0.31864,-0.14049,0.096511,0.59596,0.77501
-1.2301,-0.67609,0.87595,0.94303,-2.2597,-0.20647
-0.97324,-0.74042,-0.052689,0.13073,-1.0935,0.11092
1.9134,1.1238,0.70376,-0.7746,3.2986,1.5908
1.3366,0.53958,1.0605,-0.98996,1.406,0.98246
0.043753,0.11163,0.21759,-0.23719,0.050547,0.33134
0.79087,0.2246,2.5473,-1.5222,3.7686,1.0295
-0.67045,-0.34958,-0.0055647,0.21658,-0.74365,0.08972
0.4426,0.11443,1.0024,-0.98646,0.98467,1.0816
-1.0826,-0.76273,2.5057,1.615,1.4908,-0.25019
0.55851,0.056144,-0.030238,-0.19651,0.49457,0.9333
-0.67678,-0.25622,-0.04268,-0.071447,-0.69237,0.33291
-0.68532,-0.31112,4.733,2.189,0.75066,0.51724
0.17356,0.046621,0.34815,0.56886,0.22188,1.0811
0.038098,0.092998,1.1829,1.1147,-0.038764,0.85364
-0.63571,-0.30537,-0.022017,-0.15968,-0.59125,-0.0039037
-1.7641,-0.73109,1.0552,0.95511,-1.9831,-0.31264
0.89903,0.063664,0.12463,0.2684,0.73917,1.2804
-0.52909,-0.26522,0.13978,-0.12888,-0.53666,0.15238
0.84765,0.57393,0.026678,-0.35156,1.0711,0.60294
0.60681,0.28238,0.19652,-0.33555,0.74894,0.80447
2.1154,1.0861,3.0211,-1.7179,8.3708,1.4804
0.4692,0.12522,0.4003,-0.50905,0.19819,0.94194
-0.27481,-0.074625,0.053811,-0.063833,-0.25905,0.27167
-0.80918,-0.57424,1.3685,1.2203,-2.1372,0.47796
0.070692,-0.11748,-0.011523,-0.25807,0.050897,0.75498
0.26735,0.16436,0.053471,-0.11938,0.32918,0.56005
-1.0057,-0.47663,0.142,0.46663,-0.53569,-0.20462
1.3885,0.51536,0.44425,-0.63453,1.0965,1.6613
1.0867,0.84241,1.9541,-1.401,1.0433,0.8034
-0.059248,-0.22565,-0.13898,-0.0046336,-0.059233,0.62777
-0.26968,-0.41023,1.815,1.3821,0.13403,0.71782
-1.0619,-0.66382,0.52212,0.73179,-0.19572,0.089399
-1.5374,-0.85624,2.5777,1.6022,-0.41338,0.10941
0.72042,0.35033,0.61048,-0.79169,1.5294,0.67445
0.025823,0.19999,0.19003,0.33805,0.023169,0.55353
0.41864,0.22265,0.098246,-0.39662,0.61606,1.1244
1.0687,0.63208,1.1354,-1.0464,2.2643,0.80019
0.034797,0.22673,0.052236,0.23137,0.031106,0.48047
-1.0068,-0.54293,0.187,0.49751,-1.774,0.10994
-1.6197,-1.1052,2.3069,1.5215,-3.6891,-0.22203
0.28976,-0.075407,1.7103,-1.3034,0.91858,0.70886
-0.56098,-0.50798,1.7356,1.3138,-1.0203,0.29098
1.8667,1.0009,2.8033,-1.6738,6.4765,1.598
-0.16407,0.00017964,0.029219,-0.047598,-0.16854,0.95488
-0.4025,-0.24229,0.43992,0.60045,-0.42864,0.46724
-0.53624,-0.45211,0.093382,0.50539,-0.5283,0.33898
0.50252,0.092357,3.8264,-1.9767,-1.7856,0.15983
-1.2077,-0.84706,1.4275,1.2448,1.0145,-0.24549
-0.086928,-0.1891,0.12533,0.21961,-0.091806,0.62363
0.085747,0.13297,-0.14699,0.23814,0.085598,0.6129
-0.57157,-0.0081537,0.46807,0.71567,-0.46031,0.38981
-1.193,-0.43554,-0.14701,0.035093,-1.1542,-0.60385
1.1536,0.59343,0.088449,-0.31194,0.79356,0.87806
-0.22432,-0.37019,1.3305,1.1241,-0.18118,0.54493
-0.35769,-0.3804,0.98126,1.0758,-0.48464,0.55438
-0.35673,-0.13217,1.3262,-1.106,-0.88622,0.37605
0.71311,0.13142,0.041809,-0.25704,0.80255,0.77439
0.10914,-0.07775,0.10576,0.0067304,0.10938,0.7383
1.274,0.43731,1.312,-1.1228,2.395,1.2439
-0.4757,-0.29847,0.31459,0.62731,-0.2046,0.43206
0.56438,0.0578,0.13828,-0.46478,0.45696,0.82371
-0.72141,-0.62232,0.74513,0.83205,-0.46256,-0.039251
-0.79693,-0.14229,0.31062,0.48908,-1.3731,-0.030986
-0.48642,-0.11259,1.2351,-1.0745,-0.88379,0.32879
-1.0315,-0.31043,-0.015295,0.28037,-1.0387,0.24427
1.6001,0.54146,2.4387,-1.5516,1.176,1.2715
0.16071,0.071454,0.17184,0.38399,0.17861,0.58022
-0.0055142,0.12225,-0.0084878,0.40152,-0.005961,0.67587
-2.2489,-1.0614,2.7603,1.6769,-6.0926,-0.58704
0.34123,-0.1367,0.015895,-0.19013,0.33305,0.64544
0.54044,0.52362,0.40567,-0.57467,0.16079,1.1551
1.7144,1.2709,3.2074,-1.7843,4.5379,1.2885
-0.26357,0.0050579,1.8075,1.3767,-0.80441,0.86481
1.556,0.86181,3.0303,-1.7619,1.4334,1.4184
-0.83217,-0.42119,0.17143,0.51388,-0.92367,0.02089
1.1577,0.61137,0.61129,-0.85029,-0.11942,1.1523
0.89054,0.36486,1.9178,-1.3198,0.9991,0.75982
-0.25514,-0.0069166,0.24788,0.566,-0.44259,0.61677
-1.1692,-0.33209,2.8139,1.6791,-1.6707,0.19098
-0.083767,-0.072321,0.60045,-0.80834,-0.050511,0.24404
-0.93229,-0.64274,0.45702,0.61523,0.090662,-0.012975
1.2331,0.51973,2.1317,-1.4874,2.5757,1.162
-0.028401,-0.45275,0.3123,-0.60441,-0.014024,0.46213
0.43629,0.35226,-0.026482,-0.25827,0.30299,0.55154
0.16008,0.19197,-0.11698,-0.074845,0.16957,0.63693
-0.22047,-0.15235,0.38387,0.49615,-0.18879,0.5707
0.8909,0.49244,0.83988,-0.90229,2.1155,1.0661
1.0733,0.40214,0.074582,-0.29723,1.2284,1.1465
-1.06,-0.52566,0.57537,0.74261,-1.4685,0.11137
0.11012,-0.23729,0.26747,-0.40339,0.083213,0.68416
-0.68805,-0.23876,1.4035,1.1286,-2.5953,0.18078
-1.3998,-0.40886,1.6683,1.2893,-1.2906,-0.14582
-0.23369,-0.016512,0.70598,0.84287,-0.3803,0.3867
-0.032912,-0.42737,0.021317,0.17497,-0.033532,0.45373
0.87304,0.40399,1.6768,-1.344,0.047538,1.0929
1.3117,0.52977,1.6067,-1.2183,1.6294,1.3132
-1.0073,-0.37656,2.1174,1.4755,-0.39744,-0.06915
-0.43636,-0.3297,1.3364,1.1644,-0.6846,0.62322
-0.12654,-0.013637,0.064811,0.087812,-0.11305,0.61665
-0.097657,-0.38446,0.11785,-0.48968,-0.10733,0.37164
-0.8896,-0.25063,-0.042581,-0.15748,-0.86204,-0.35629
1.0063,0.46293,0.8759,-0.81159,2.4512,1.0061
0.95157,0.52317,0.43084,-0.70011,0.7618,0.88953
0.40705,0.51732,0.78016,-0.83173,0.27256,0.75796
0.40643,0.52856,-0.043815,-0.13882,0.42819,0.83219
0.42092,0.13282,0.44005,-0.64126,0.90177,0.64745
0.074129,0.098792,0.027437,0.041375,0.068885,0.24436
-0.89337,-0.33687,0.2551,0.63708,-0.50437,0.053576
0.19993,0.28372,0.56426,-0.74527,0.2812,0.21728
0.33445,0.056906,1.3185,-1.1019,0.87588,0.70576
-1.5632,-0.77738,0.10274,0.52966,-0.56656,-0.34409
-0.54503,-0.34821,1.1992,1.1069,-0.21381,0.59124
1.2148,0.71611,0.67588,-0.85603,0.72402,1.5849
-0.86922,-0.52963,1.3961,1.1642,-1.26,0.5656
